                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.04451,                0.76331,                0.97337,                 1.6146,              0.0028225,              0.0028225,              0.0028225
                    147,                0.04337,                0.76331,                0.97485,                 1.6178,               0.002773,               0.002773,               0.002773
                    148,                0.04058,                0.76183,                0.97041,                 1.6226,              0.0027235,              0.0027235,              0.0027235
                    149,                0.04161,                 0.7574,                0.96746,                 1.6227,               0.002674,               0.002674,               0.002674
                    150,                0.04155,                0.75592,                0.96893,                   1.61,              0.0026245,              0.0026245,              0.0026245
                    151,                0.04199,                0.75888,                0.96598,                 1.6257,               0.002575,               0.002575,               0.002575
                    152,                0.03673,                 0.7574,                0.97189,                 1.6167,              0.0025255,              0.0025255,              0.0025255
                    153,                0.03999,                0.76036,                0.97041,                 1.6167,               0.002476,               0.002476,               0.002476
                    154,                 0.0342,                0.76331,                0.97189,                 1.6144,              0.0024265,              0.0024265,              0.0024265
                    155,                0.03204,                0.76036,                0.97041,                 1.6247,               0.002377,               0.002377,               0.002377
                    156,                0.03518,                0.76036,                0.97041,                 1.6284,              0.0023275,              0.0023275,              0.0023275
                    157,                0.02992,                0.75888,                0.96893,                 1.6317,               0.002278,               0.002278,               0.002278
                    158,                0.02732,                0.75888,                0.97337,                 1.6305,              0.0022285,              0.0022285,              0.0022285
                    159,                0.02514,                0.76036,                0.97041,                   1.62,               0.002179,               0.002179,               0.002179
                    160,                0.02534,                0.76183,                0.97041,                 1.6385,              0.0021295,              0.0021295,              0.0021295
                    161,                0.02909,                0.76479,                0.97189,                  1.618,                0.00208,                0.00208,                0.00208
                    162,                0.02376,                0.76183,                0.97337,                 1.6094,              0.0020305,              0.0020305,              0.0020305
                    163,                0.02138,                0.75592,                0.97041,                 1.6213,               0.001981,               0.001981,               0.001981
                    164,                0.02645,                 0.7574,                0.97189,                 1.6247,              0.0019315,              0.0019315,              0.0019315
                    165,                0.03127,                0.75444,                0.97337,                 1.6364,               0.001882,               0.001882,               0.001882
                    166,                0.02656,                 0.7574,                0.97041,                 1.6079,              0.0018325,              0.0018325,              0.0018325
                    167,                0.02192,                0.75888,                0.97189,                 1.6307,               0.001783,               0.001783,               0.001783
                    168,                 0.0192,                0.76183,                0.97041,                 1.6206,              0.0017335,              0.0017335,              0.0017335
                    169,                0.02251,                0.75592,                0.97041,                 1.6131,               0.001684,               0.001684,               0.001684
                    170,                0.01929,                 0.7574,                0.97337,                 1.6279,              0.0016345,              0.0016345,              0.0016345
                    171,                0.02068,                 0.7574,                0.97485,                 1.6257,               0.001585,               0.001585,               0.001585
                    172,                0.02262,                0.75296,                0.97485,                 1.6162,              0.0015355,              0.0015355,              0.0015355
                    173,                0.01931,                0.75296,                0.97633,                 1.6252,               0.001486,               0.001486,               0.001486
                    174,                 0.0193,                0.75148,                0.97633,                 1.6056,              0.0014365,              0.0014365,              0.0014365
                    175,                0.01762,                0.75296,                0.97633,                 1.6123,               0.001387,               0.001387,               0.001387
                    176,                0.01846,                0.75444,                0.97633,                  1.625,              0.0013375,              0.0013375,              0.0013375
                    177,                0.01718,                 0.7574,                0.97633,                 1.6115,               0.001288,               0.001288,               0.001288
                    178,                0.01624,                0.75888,                0.97633,                 1.6157,              0.0012385,              0.0012385,              0.0012385
                    179,                0.01281,                0.75888,                0.97337,                 1.6165,               0.001189,               0.001189,               0.001189
                    180,                0.01585,                0.76036,                0.97337,                 1.6307,              0.0011395,              0.0011395,              0.0011395
                    181,                0.01431,                0.76479,                0.97337,                 1.6214,                0.00109,                0.00109,                0.00109
                    182,                0.01664,                0.76479,                0.97337,                 1.6235,              0.0010405,              0.0010405,              0.0010405
                    183,                0.01416,                0.76331,                0.97189,                 1.6074,               0.000991,               0.000991,               0.000991
                    184,                0.01574,                0.76627,                0.97189,                 1.6281,              0.0009415,              0.0009415,              0.0009415
                    185,                0.01375,                0.76775,                0.97189,                 1.6143,               0.000892,               0.000892,               0.000892
                    186,                0.01697,                0.76775,                0.97189,                 1.6237,              0.0008425,              0.0008425,              0.0008425
                    187,                0.01586,                0.76775,                0.97189,                  1.634,               0.000793,               0.000793,               0.000793
                    188,                0.01095,                0.76775,                0.97189,                   1.61,              0.0007435,              0.0007435,              0.0007435
                    189,                0.01375,                0.76775,                0.97337,                 1.6186,               0.000694,               0.000694,               0.000694
                    190,                0.01202,                0.76775,                0.97189,                 1.6126,              0.0006445,              0.0006445,              0.0006445
                    191,                0.01339,                0.76627,                0.97189,                   1.61,               0.000595,               0.000595,               0.000595
                    192,                0.01205,                0.76627,                0.97189,                 1.6247,              0.0005455,              0.0005455,              0.0005455
                    193,                0.01183,                0.76775,                0.97189,                 1.6165,               0.000496,               0.000496,               0.000496
                    194,                0.00945,                0.76775,                0.97189,                 1.6214,              0.0004465,              0.0004465,              0.0004465
                    195,                0.01004,                0.76775,                0.97189,                 1.6143,               0.000397,               0.000397,               0.000397
                    196,                0.01127,                0.76627,                0.97189,                 1.6086,              0.0003475,              0.0003475,              0.0003475
                    197,                0.01063,                0.76627,                0.97337,                 1.6188,               0.000298,               0.000298,               0.000298
                    198,                0.01097,                0.76627,                0.97337,                 1.6188,              0.0002485,              0.0002485,              0.0002485
                    199,                0.01165,                0.76627,                0.97189,                 1.6198,               0.000199,               0.000199,               0.000199
                    200,                0.00974,                0.76627,                0.97189,                 1.6162,              0.0001495,              0.0001495,              0.0001495
