                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    173,                0.01641,                0.75296,                0.97337,                 1.6297,               0.001486,               0.001486,               0.001486
                    174,                0.01698,                0.75444,                0.97337,                 1.6035,              0.0014365,              0.0014365,              0.0014365
                    175,                0.01702,                0.75444,                0.97485,                  1.619,               0.001387,               0.001387,               0.001387
                    176,                0.01681,                0.75444,                0.97485,                 1.6198,              0.0013375,              0.0013375,              0.0013375
                    177,                0.01799,                0.75444,                0.97485,                 1.6118,               0.001288,               0.001288,               0.001288
                    178,                0.01403,                0.75592,                0.97485,                 1.6164,              0.0012385,              0.0012385,              0.0012385
                    179,                 0.0147,                 0.7574,                0.97485,                 1.6149,               0.001189,               0.001189,               0.001189
                    180,                 0.0138,                0.75888,                0.97485,                 1.6261,              0.0011395,              0.0011395,              0.0011395
                    181,                0.01156,                0.76036,                0.97485,                 1.6276,                0.00109,                0.00109,                0.00109
                    182,                0.01614,                0.76183,                0.97633,                 1.6209,              0.0010405,              0.0010405,              0.0010405
                    183,                0.01404,                0.76183,                0.97633,                 1.6032,               0.000991,               0.000991,               0.000991
                    184,                0.01617,                0.76627,                0.97633,                 1.6239,              0.0009415,              0.0009415,              0.0009415
                    185,                0.01327,                0.76627,                0.97633,                  1.612,               0.000892,               0.000892,               0.000892
                    186,                0.01477,                0.76627,                0.97633,                 1.6216,              0.0008425,              0.0008425,              0.0008425
                    187,                0.01557,                0.76923,                0.97633,                 1.6307,               0.000793,               0.000793,               0.000793
                    188,                 0.0106,                0.76923,                0.97485,                 1.6064,              0.0007435,              0.0007435,              0.0007435
                    189,                0.01219,                0.76627,                0.97485,                 1.6217,               0.000694,               0.000694,               0.000694
                    190,                0.01055,                0.76627,                0.97485,                 1.6103,              0.0006445,              0.0006445,              0.0006445
                    191,                0.01338,                0.76775,                0.97485,                 1.6107,               0.000595,               0.000595,               0.000595
                    192,                0.01115,                0.76627,                0.97485,                 1.6242,              0.0005455,              0.0005455,              0.0005455
                    193,                0.00993,                0.76627,                0.97485,                 1.6188,               0.000496,               0.000496,               0.000496
                    194,                0.00981,                0.76627,                0.97485,                 1.6151,              0.0004465,              0.0004465,              0.0004465
                    195,                0.01044,                0.76479,                0.97485,                 1.6149,               0.000397,               0.000397,               0.000397
                    196,                0.01074,                0.76479,                0.97485,                 1.6112,              0.0003475,              0.0003475,              0.0003475
                    197,                0.01131,                0.76331,                0.97485,                 1.6056,               0.000298,               0.000298,               0.000298
                    198,                0.01083,                0.76479,                0.97485,                 1.6159,              0.0002485,              0.0002485,              0.0002485
                    199,                0.01012,                0.76331,                0.97485,                 1.6157,               0.000199,               0.000199,               0.000199
                    200,                0.01145,                0.76331,                0.97485,                 1.6131,              0.0001495,              0.0001495,              0.0001495
